passID,timestamp,stationRef,vehicleRef,charge,t,v,hn,p
WSI3219904,01/01/2019 01:33:24,KO01,ED51EWW52190,2.8,KO01,ED51EWW52190,KO,home
TOB7336760,01/01/2019 01:37:35,OO12,AT19HLV57173,2.8,OO12,AT19HLV57173,OO,home
LDD7262109,01/01/2019 02:50:14,OO06,AT19HLV57173,2.8,OO06,AT19HLV57173,OO,home
NSR5538511,01/01/2019 05:23:14,AO07,DP11ENT03275,3.1,AO07,DP11ENT03275,AO,home
BDG6166982,01/01/2019 06:03:26,AO18,LG64ARC91224,13.0,AO18,LG64ARC91224,AO,home
YWD3967715,01/01/2019 06:09:30,MR06,QO68DIC93032,2.5,MR06,QO68DIC93032,MR,home
THF3239181,01/01/2019 06:10:38,OO12,XV40HUQ04740,1.25,OO12,XV40HUQ04740,OO,home
DKZ3204266,01/01/2019 07:28:10,EG04,TV81MAQ99005,2.8,EG04,TV81MAQ99005,EG,home
VSD5346273,01/01/2019 08:17:57,EG03,CP56DAO45598,2.8,EG03,CP56DAO45598,GF,away
UTI9677334,01/01/2019 08:52:43,AO13,DP11ENT03275,3.1,AO13,DP11ENT03275,AO,home
UIV0991172,01/01/2019 09:35:35,AO16,NO82BAX82566,2.8,AO16,NO82BAX82566,NE,away
BIM5756381,01/01/2019 09:53:45,KO08,QW79CHL42244,2.8,KO08,QW79CHL42244,KO,home
JVV5228001,01/01/2019 10:33:20,KO04,JO50FSF60755,2.2,KO04,JO50FSF60755,KO,home
TYV5505416,01/01/2019 10:41:24,KO08,WY00MLL63827,1.0,KO08,WY00MLL63827,KO,home
DVP9052273,01/01/2019 12:23:34,GF00,PF04UCA93312,3.1,GF00,PF04UCA93312,GF,home
RCN6097732,01/01/2019 12:45:45,GF00,IO09FGE68100,2.8,GF00,IO09FGE68100,GF,home
UPC0934127,01/01/2019 16:48:34,OO04,CP56DAO45598,2.5,OO04,CP56DAO45598,GF,away
UYS4444642,01/01/2019 16:52:38,NE09,QP02SYE47964,2.8,NE09,QP02SYE47964,NE,home
YOW7433640,01/01/2019 17:18:17,AO02,QN23UHH39091,2.8,AO02,QN23UHH39091,MR,away
JLS1333152,01/01/2019 17:41:56,EG08,CR31GMR97972,1.5,EG08,CR31GMR97972,EG,home
QGO0903208,01/01/2019 18:02:31,EG02,TE24LCO18661,1.25,EG02,TE24LCO18661,EG,home
IRK4760444,01/01/2019 19:39:38,EG11,MU06LHX94338,1.5,EG11,MU06LHX94338,EG,home
YZL7519880,01/01/2019 23:13:40,EG12,MU06LHX94338,1.5,EG12,MU06LHX94338,EG,home
XRS9245728,01/01/2019 23:35:51,KO06,HW75BKT77773,2.2,KO06,HW75BKT77773,KO,home
ADK8001607,01/02/2019 00:22:03,OO12,EM54HQI58682,2.8,OO12,EM54HQI58682,OO,home
ZLJ2429774,01/02/2019 00:39:29,EG07,CM15YCB60994,2.0,EG07,CM15YCB60994,EG,home
PFK3153908,01/02/2019 01:25:14,EG09,CM15YCB60994,2.0,EG09,CM15YCB60994,EG,home
OJF7533092,01/02/2019 02:21:10,NE09,FY47TUN40300,1.0,NE09,FY47TUN40300,NE,home
AYA2207372,01/02/2019 02:42:50,EG02,DW44ZOO26361,2.5,EG02,DW44ZOO26361,EG,home
SUW7443304,01/02/2019 03:30:50,GF00,JE65QJK64802,2.8,GF00,JE65QJK64802,GF,home
NQU2005152,01/02/2019 04:18:07,AO18,RR73DWB65452,2.8,AO18,RR73DWB65452,AO,home
PZE1892597,01/02/2019 04:24:57,OO00,AT19HLV57173,2.8,OO00,AT19HLV57173,OO,home
AYH8728597,01/02/2019 04:28:14,GF00,QO68DIC93032,13.0,GF00,QO68DIC93032,MR,away
XJD2966445,01/02/2019 05:50:22,GF00,DO24BCW15511,13.0,GF00,DO24BCW15511,KO,away
HVQ7237032,01/02/2019 06:12:07,KO00,KB55KTM48860,2.5,KO00,KB55KTM48860,KO,home
NHY3086874,01/02/2019 07:11:08,AO15,YL27IFD65117,2.0,AO15,YL27IFD65117,AO,home
MGU4398755,01/02/2019 07:14:48,NE08,EG95RTB75032,2.8,NE08,EG95RTB75032,NE,home
GEM5057485,01/02/2019 07:28:36,OO12,AT19HLV57173,2.8,OO12,AT19HLV57173,OO,home
FFA6207327,01/02/2019 07:42:02,OO07,QR03XCJ37459,2.8,OO07,QR03XCJ37459,OO,home
OLV7217348,01/02/2019 08:19:48,MR04,IZ65WAT29135,2.0,MR04,IZ65WAT29135,MR,home
NKM7840606,01/02/2019 09:06:10,OO02,MX39VOS38645,2.0,OO02,MX39VOS38645,AO,away
QZY0176136,01/02/2019 10:20:54,OO01,QR03XCJ37459,2.5,OO01,QR03XCJ37459,OO,home
LEV3798414,01/02/2019 11:04:12,OO04,RK48BOP88344,2.8,OO04,RK48BOP88344,OO,home
XCW7548977,01/02/2019 13:49:39,KO07,QO77TFN61853,2.2,KO07,QO77TFN61853,KO,home
SSH1766507,01/02/2019 14:10:33,NE15,MQ65WJJ60020,1.0,NE15,MQ65WJJ60020,KO,away
AWB9004088,01/02/2019 15:24:47,AO04,HT62RDI04611,2.8,AO04,HT62RDI04611,AO,home
SNO1901037,01/02/2019 16:40:43,AO15,BM25PHF40639,13.0,AO15,BM25PHF40639,AO,home
